[2.81, 2.69]
[2.59, 2.79]
[2.57, 2.72]
[2.07, 2.72]
[1.76, 3.3]
[1.47, 3.45]
[1.36, 3.5]
[1.32, 3.57]
[1.43, 4.07]
[1.3, 4.23]
[1.45, 4.4]
[1.67, 4.95]
[1.77, 5.46]
[1.6, 5.7]
[1.79, 6.03]
[1.68, 6.12]
[1.71, 6.49]
[2.35, 6.9]
[2.08, 7.19]
[2.48, 7.39]
[2.4, 7.73]
[2.56, 7.88]
[2.83, 8.02]
[2.8, 8.48]
[2.98, 8.8]
[3.18, 9.0]
[3.56, 9.33]
[3.99, 9.05]
[4.23, 8.65]
[4.22, 8.52]
[4.45, 8.12]
[4.54, 7.78]
[4.52, 7.69]
[4.89, 7.59]
[5.15, 7.16]
[5.72, 7.41]
[5.74, 7.4]
[5.96, 6.92]
[6.37, 6.81]
[6.18, 6.47]
[5.8, 6.29]
[6.0, 6.0]
